Run	Year	Species	pSpp	Area
1	70	 C	0.000012	4.500000
1	70	 CBb	0.000039	15.250000
1	70	 CE	0.000050	19.500000
1	70	 CS	0.000058	22.500000
1	75	 Bb	0.081159	31692.000000
1	75	 BbPe	0.078190	30532.750000
1	75	 BbE	0.016731	6533.500000
1	75	 BbPg	0.001437	561.250000
1	75	 BbS	0.186842	72960.750000
1	75	 Pe	0.004392	1715.000000
1	75	 PeBb	0.056262	21970.000000
1	75	 PeE	0.006433	2512.000000
1	75	 PePg	0.002969	1159.500000
1	75	 PeS	0.001205	470.500000
1	75	 E	0.138184	53960.250000
1	75	 EBb	0.032045	12513.250000
1	75	 EPe	0.019134	7471.750000
1	75	 EPg	0.032614	12735.500000
1	75	 ES	0.044583	17409.250000
1	75	 EMe	0.006971	2722.000000
1	75	 EC	0.000066	25.750000
1	75	 Pg	0.030191	11789.500000
1	75	 PgBb	0.006487	2533.000000
1	75	 PgPe	0.008773	3425.750000
1	75	 PgE	0.186103	72672.250000
1	75	 PgMe	0.000104	40.750000
1	75	 PgS	0.000021	8.250000
1	75	 S	0.018939	7395.500000
1	75	 SBb	0.023654	9236.750000
1	75	 SPe	0.010013	3910.000000
1	75	 SE	0.004353	1699.750000
1	75	 SPg	0.000164	64.000000
1	75	 SMe	0.000077	30.250000
1	75	 SC	0.000050	19.500000
1	75	 Me	0.000133	52.000000
1	75	 MeE	0.001499	585.500000
1	75	 MePg	0.000064	25.000000
1	75	 C	0.000012	4.500000
1	75	 CBb	0.000039	15.250000
1	75	 CE	0.000050	19.500000
1	75	 CS	0.000058	22.500000
1	80	 Bb	0.081159	31692.000000
1	80	 BbPe	0.078190	30532.750000
1	80	 BbE	0.016731	6533.500000
1	80	 BbPg	0.001437	561.250000
1	80	 BbS	0.186842	72960.750000
1	80	 Pe	0.004392	1715.000000
1	80	 PeBb	0.056262	21970.000000
1	80	 PeE	0.006433	2512.000000
1	80	 PePg	0.002969	1159.500000
1	80	 PeS	0.001205	470.500000
1	80	 E	0.138184	53960.250000
1	80	 EBb	0.032045	12513.250000
1	80	 EPe	0.019134	7471.750000
1	80	 EPg	0.032614	12735.500000
1	80	 ES	0.044583	17409.250000
1	80	 EMe	0.006971	2722.000000
1	80	 EC	0.000066	25.750000
1	80	 Pg	0.030191	11789.500000
1	80	 PgBb	0.006487	2533.000000
1	80	 PgPe	0.008773	3425.750000
1	80	 PgE	0.186103	72672.250000
1	80	 PgMe	0.000104	40.750000
1	80	 PgS	0.000021	8.250000
1	80	 S	0.018939	7395.500000
1	80	 SBb	0.023654	9236.750000
1	80	 SPe	0.010013	3910.000000
1	80	 SE	0.004353	1699.750000
1	80	 SPg	0.000164	64.000000
1	80	 SMe	0.000077	30.250000
1	80	 SC	0.000050	19.500000
1	80	 Me	0.000133	52.000000
1	80	 MeE	0.001499	585.500000
1	80	 MePg	0.000064	25.000000
1	80	 C	0.000012	4.500000
