Index	AC0-19	AC20-39	AC40-59	AC60-79	AC80-99	AC100-120		
1441	0	0	0	0	0	0	 SPe	RS25
1442	0	0	0	0	0	0	 SE	RS25
1548	0	0	0	0	0	0	 CC	RS2A
1553	0	0	0	0	0	0	 CS	RS2A
1569	0	0	0	0	0	0	 BbPe	RC38
1571	0	0	0	0	0	0	 BbPg	RC38
1580	0	0	0	0	0	0	 PePg	RC38
1589	0	0	0	0	0	0	 EPg	RC38
1594	0	0	0	0	0	0	 Pg	RC38
1595	0	0	0	0	0	0	 PgBb	RC38
1596	0	0	0	0	0	0	 PgPe	RC38
1597	0	0	0	0	0	0	 PgE	RC38
1602	0	0	0	0	0	0	 PgMe	RC38
